OID_,POINTID,GRID_CODE
1453,1453,50
1538,1538,50
1627,1627,50
1714,1714,50
2010,2010,50
1370,1370,50
1452,1452,50
1537,1537,50
1811,1811,50
4158,4158,50
1451,1451,50
1536,1536,50
1626,1626,50
1910,1910,50
1535,1535,50
1625,1625,50
1713,1713,50
1624,1624,50
1712,1712,50
1623,1623,50
1711,1711,50
1809,1809,50
1622,1622,50
1810,1810,50
1709,1709,50
1710,1710,50
1808,1808,50
1807,1807,50
1805,1805,50
1806,1806,50
1909,1909,50
1908,1908,50
2009,2009,50
1905,1905,50
1906,1906,50
1907,1907,50
2004,2004,50
2008,2008,50
2005,2005,50
2006,2006,50
2007,2007,50
2117,2117,50
2118,2118,50
2119,2119,50
5971,5971,50
2242,2242,50
2362,2362,50
2243,2243,50
2120,2120,50
4708,4708,50
5092,5092,50
5343,5343,50
4673,4673,49
4293,4293,49
4429,4429,49
6058,6058,49
1139,1139,49
3113,3113,49
4707,4707,49
5170,5170,49
1369,1369,49
4208,4208,49
1450,1450,49
1486,1486,49
4965,4965,49
1621,1621,49
1708,1708,49
4998,4998,49
4804,4804,49
4140,4140,49
4274,4274,49
4522,4522,49
5045,5045,49
5431,5431,49
5542,5542,49
5778,5778,49
5941,5941,49
4870,4870,49
4698,4698,49
2214,2214,49
4865,4865,48
2116,2116,48
2241,2241,48
2361,2361,48
2363,2363,48
1904,1904,48
2003,2003,48
5295,5295,48
5044,5044,48
4178,4178,48
2487,2487,48
5420,5420,48
2486,2486,48
5222,5222,48
5621,5621,48
6174,6174,48
4837,4837,48
4917,4917,48
6087,6087,48
2717,2717,48
4703,4703,48
1211,1211,47
2610,2610,47
6389,6389,47
1169,1169,47
5942,5942,47
2609,2609,47
6303,6303,47
5740,5740,47
3248,3248,47
4840,4840,47
4971,4971,47
6797,6797,47
2720,2720,47
6299,6299,47
5090,5090,47
4144,4144,47
5309,5309,47
5622,5622,47
5737,5737,47
5468,5468,47
1903,1903,46
1212,1212,46
5296,5296,46
6388,6388,46
1138,1138,46
1285,1285,46
4157,4157,46
6056,6056,46
1877,1877,46
6872,6872,46
6876,6876,46
5417,5417,46
4967,4967,46
5551,5551,46
6390,6390,46
4997,4997,45
4145,4145,45
2845,2845,45
2977,2977,45
2978,2978,45
6172,6172,45
2844,2844,45
4343,4343,45
5185,5185,45
5777,5777,45
4999,4999,45
1213,1213,45
4273,4273,45
4523,4523,45
4655,4655,45
4787,4787,45
4919,4919,45
5172,5172,45
5298,5298,45
5422,5422,45
4542,4542,45
5741,5741,45
1533,1533,45
4783,4783,45
4914,4914,45
5040,5040,45
5167,5167,45
5293,5293,45
5415,5415,45
5535,5535,45
6639,6639,45
2011,2011,45
6203,6203,45
5243,5243,45
1716,1716,45
4339,4339,45
2348,2348,45
3114,3114,45
2089,2089,45
1628,1628,45
1372,1372,45
1170,1170,45
1243,1243,45
1244,1244,45
1320,1320,45
1321,1321,45
1322,1322,45
1402,1402,45
1403,1403,45
1404,1404,45
1487,1487,45
1488,1488,45
1489,1489,45
1490,1490,45
1575,1575,45
1576,1576,45
1577,1577,45
1578,1578,45
1664,1664,45
1758,1758,45
1760,1760,45
1856,1856,45
1857,1857,45
1858,1858,45
1956,1956,45
1957,1957,45
1958,1958,45
1959,1959,45
2067,2067,45
2068,2068,45
2069,2069,45
2070,2070,45
2071,2071,45
2072,2072,45
2190,2190,45
2191,2191,45
2192,2192,45
2193,2193,45
2194,2194,45
2310,2310,45
2311,2311,45
6795,6795,45
5976,5976,45
3007,3007,45
5860,5860,45
