OID_,pointid,grid_code
768,768,52
4366,4366,52
5344,5344,52
4875,4875,52
7108,7108,52
3644,3644,52
564,564,52
2544,2544,52
2627,2627,51
4027,4027,51
2692,2692,51
7041,7041,51
2962,2962,51
3364,3364,51
3060,3060,51
4099,4099,51
4230,4230,51
7519,7519,51
6142,6142,51
2955,2955,51
4368,4368,51
4628,4628,51
4236,4236,51
5384,5384,51
5768,5768,51
5885,5885,51
7707,7707,51
3230,3230,50
5341,5341,50
1100,1100,50
7597,7597,50
5302,5302,50
2442,2442,50
2764,2764,50
3760,3760,50
2073,2073,50
2074,2074,50
4700,4700,50
5220,5220,50
3091,3091,50
3226,3226,50
3267,3267,50
3491,3491,50
7706,7706,50
3376,3376,50
7198,7198,50
3023,3023,50
633,633,50
2441,2441,50
3890,3890,50
4355,4355,50
536,536,50
468,468,50
3891,3891,50
2423,2423,50
7292,7292,49
4499,4499,49
4746,4746,49
2753,2753,49
3732,3732,49
3867,3867,49
2626,2626,49
4363,4363,49
7378,7378,49
5435,5435,49
2197,2197,49
3633,3633,49
2427,2427,49
3754,3754,49
3465,3465,49
4613,4613,49
7708,7708,49
671,671,49
601,601,49
5507,5507,49
3485,3485,49
6868,6868,49
3329,3329,49
3198,3198,49
7036,7036,49
2902,2902,49
3030,3030,49
3034,3034,49
3169,3169,49
3437,3437,49
3570,3570,49
3572,3572,49
4239,4239,49
4373,4373,49
4630,4630,49
5150,5150,49
5151,5151,49
5273,5273,49
6000,6000,49
2318,2318,49
3351,3351,49
4759,4759,49
6948,6948,49
3084,3084,49
4482,4482,48
3697,3697,48
6789,6789,48
2443,2443,48
3832,3832,48
7316,7316,48
2665,2665,48
5465,5465,48
5468,5468,48
5313,5313,48
3217,3217,48
4831,4831,48
7231,7231,48
461,461,48
529,529,48
1007,1007,48
2337,2337,48
4489,4489,48
5345,5345,48
1985,1985,48
4233,4233,48
181,181,48
4496,4496,48
1172,1172,48
7656,7656,48
4569,4569,48
7113,7113,48
7205,7205,48
5792,5792,48
2710,2710,48
3889,3889,48
1173,1173,48
5051,5051,48
4228,4228,48
3241,3241,48
1960,1960,47
2199,2199,47
5742,5742,47
3093,3093,47
701,701,47
5052,5052,47
60,60,47
215,215,47
219,219,47
4216,4216,47
5623,5623,47
4029,4029,47
7218,7218,47
403,403,47
5176,5176,47
1171,1171,47
3904,3904,47
428,428,47
429,429,47
2440,2440,47
2564,2564,47
4101,4101,47
4612,4612,47
4750,4750,47
5652,5652,47
7222,7222,47
7368,7368,47
3090,3090,47
597,597,47
1074,1074,47
5181,5181,47
4440,4440,47
4161,4161,47
5426,5426,47
3227,3227,47
1961,1961,47
2075,2075,47
2563,2563,47
5346,5346,47
5053,5053,47
2970,2970,46
3626,3626,46
4229,4229,46
2503,2503,46
4877,4877,46
3619,3619,46
5469,5469,46
2510,2510,46
2762,2762,46
4001,4001,46
5259,5259,46
1170,1170,46
4890,4890,46
1144,1144,46
430,430,46
1247,1247,46
2565,2565,46
2508,2508,46
2509,2509,46
2634,2634,46
2891,2891,46
3332,3332,46
3357,3357,46
3358,3358,46
3359,3359,46
4133,4133,46
5179,5179,46
7019,7019,46
7709,7709,46
5131,5131,46
116,116,46
2693,2693,46
5183,5183,46
967,967,46
1033,1033,46
4162,4162,46
5791,5791,46
427,427,46
1246,1246,46
1959,1959,46
2444,2444,46
2749,2749,46
4836,4836,46
5057,5057,46
7020,7020,46
2630,2630,46
2888,2888,46
2958,2958,46
3025,3025,46
3158,3158,46
3402,3402,46
3895,3895,46
5304,5304,46
604,604,46
2343,2343,46
2305,2305,46
669,669,46
2816,2816,46
2381,2381,46
2505,2505,46
2756,2756,46
3132,3132,46
3134,3134,46
3463,3463,46
3534,3534,46
3535,3535,46
3597,3597,46
3600,3600,46
3734,3734,46
3865,3865,46
3999,3999,46
4928,4928,46
5055,5055,46
5305,5305,46
2791,2791,46
2581,2581,46
3753,3753,46
1143,1143,45
368,368,45
1245,1245,45
2691,2691,45
2260,2260,45
2379,2379,45
3017,3017,45
3150,3150,45
3265,3265,45
3269,3269,45
3399,3399,45
2748,2748,45
3031,3031,45
3303,3303,45
3706,3706,45
4238,4238,45
5274,5274,45
4221,4221,45
665,665,45
1073,1073,45
6786,6786,45
5188,5188,45
367,367,45
369,369,45
2562,2562,45
2686,2686,45
2702,2702,45
2828,2828,45
2880,2880,45
2882,2882,45
2895,2895,45
3001,3001,45
3014,3014,45
3028,3028,45
3149,3149,45
3162,3162,45
5006,5006,45
4743,4743,45
6873,6873,45
251,251,45
5094,5094,45
4936,4936,45
4968,4968,45
431,431,45
1244,1244,45
1324,1324,45
1327,1327,45
