OID_,POINTID,GRID_CODE,latitude,longitude
4006,4006,82,41.657202460000001,-91.576420150000004
3097,3097,82,41.662431830000003,-91.544418559999997
3093,3093,82,41.662505779999996,-91.548809109999993
4005,4005,82,41.657220660000000,-91.577517709999995
4800,4800,82,41.652227390000000,-91.574370849999994
3095,3095,82,41.662468830000002,-91.546613829999998
3360,3360,82,41.660878040000000,-91.549955969999999
4931,4931,81,41.651404280000001,-91.574395150000001
3230,3230,81,41.661627230000001,-91.545540869999996
2830,2830,81,41.664059510000001,-91.543271540000006
3363,3363,80,41.660822629999998,-91.546663140000007
4799,4799,80,41.652245610000001,-91.575468319999999
4668,4668,79,41.653068720000000,-91.575444039999994
4930,4930,79,41.651422500000002,-91.575492609999998
4537,4537,79,41.653891829999999,-91.575419749999995
4138,4138,78,41.656397560000002,-91.577541969999999
4663,4663,78,41.653159660000000,-91.580931469999996
3364,3364,77,41.660804130000002,-91.545565530000005
4924,4924,77,41.651531599999998,-91.582077369999993
2961,2961,77,41.663291919999999,-91.546589179999998
4661,4661,77,41.653195969999999,-91.583126449999995
4531,4531,77,41.654000930000002,-91.582004760000004
4795,4795,77,41.652318389999998,-91.579858209999998
5057,5057,77,41.650581180000003,-91.574419449999994
5423,5423,77,41.648257309999998,-91.583271569999994
5544,5544,77,41.647416049999997,-91.582198370000000
5546,5546,77,41.647379729999997,-91.580003590000004
2828,2828,77,41.664096530000002,-91.545466860000005
5302,5302,76,41.649044119999999,-91.581052549999995
4927,4927,76,41.651477100000001,-91.578784990000003
5052,5052,76,41.650672170000000,-91.579906670000000
4529,4529,76,41.654037209999998,-91.584199760000004
4142,4142,76,41.656324689999998,-91.573151809999999
5054,5054,76,41.650635800000003,-91.577711780000001
4406,4406,76,41.654714929999997,-91.575395459999996
5056,5056,76,41.650599390000004,-91.575516899999997
4143,4143,76,41.656306450000002,-91.572054269999995
4273,4273,76,41.655538040000003,-91.575371180000005
5175,5175,75,41.649903530000003,-91.583223200000006
4267,4267,75,41.655647139999999,-91.581956349999999
4268,4268,75,41.655628989999997,-91.580858820000003
4265,4265,75,41.655683430000003,-91.584151410000004
4132,4132,75,41.656506540000002,-91.584127230000007
3092,3092,75,41.662524240000003,-91.549906739999997
3240,3240,75,41.661441740000001,-91.534564689999996
4139,4139,75,41.656379360000003,-91.576444429999995
5182,5182,75,41.649776289999998,-91.575541180000002
2960,2960,75,41.663310410000001,-91.547686830000004
4134,4134,75,41.656470249999998,-91.581932140000006
4135,4135,75,41.656452090000002,-91.580834600000003
