OID_,POINTID,GRID_CODE
4034,4034,39
2266,2266,39
7038,7038,39
2712,2712,39
5996,5996,39
2886,2886,39
1431,1431,39
7051,7051,39
4032,4032,39
3835,3835,39
3763,3763,39
7375,7375,39
4796,4796,38
2586,2586,38
3672,3672,38
3735,3735,38
2099,2099,38
2678,2678,38
2794,2794,38
5049,5049,38
4799,4799,38
3671,3671,38
3063,3063,38
6798,6798,38
1121,1121,38
1784,1784,38
6877,6877,38
3496,3496,38
2795,2795,38
3776,3776,38
7520,7520,38
4933,4933,38
5149,5149,38
3693,3693,38
3961,3961,38
2758,2758,38
5548,5548,38
3464,3464,38
2952,2952,38
4705,4705,38
1883,1883,38
1515,1515,38
2320,2320,38
5128,5128,38
7035,7035,38
2881,2881,38
7379,7379,38
4744,4744,37
2677,2677,37
3241,3241,37
4308,4308,37
1882,1882,37
3300,3300,37
2695,2695,37
6112,6112,37
6002,6002,37
7663,7663,37
2437,2437,37
4874,4874,37
2141,2141,37
2619,2619,37
3737,3737,37
4961,4961,37
5012,5012,37
3906,3906,37
3825,3825,37
4530,4530,37
2936,2936,37
3833,3833,37
3834,3834,37
5088,5088,37
89,89,37
7203,7203,37
2637,2637,37
7037,7037,37
5255,5255,37
3070,3070,37
2468,2468,37
4036,4036,37
3736,3736,37
3600,3600,37
2972,2972,37
4310,4310,37
3870,3870,37
2805,2805,37
7111,7111,37
3969,3969,37
2443,2443,37
5137,5137,37
5880,5880,37
3997,3997,37
4831,4831,37
5433,5433,37
4137,4137,37
7530,7530,37
5381,5381,37
5767,5767,37
2263,2263,37
3629,3629,37
5768,5768,36
2636,2636,36
3567,3567,36
4294,4294,36
3826,3826,36
4634,4634,36
1058,1058,36
1127,1127,36
1200,1200,36
1274,1274,36
3106,3106,36
1324,1324,36
1406,1406,36
1491,1491,36
1492,1492,36
1580,1580,36
3267,3267,36
4671,4671,36
4747,4747,36
5428,5428,36
4748,4748,36
4242,4242,36
2591,2591,36
1783,1783,36
3891,3891,36
3330,3330,36
4352,4352,36
1986,1986,36
5217,5217,36
3265,3265,36
2580,2580,36
3021,3021,36
2344,2344,36
4220,4220,36
4487,4487,36
5185,5185,36
2973,2973,36
2635,2635,36
2757,2757,36
1248,1248,36
2793,2793,36
3434,3434,36
3026,3026,36
3027,3027,36
5879,5879,36
4109,4109,36
3435,3435,36
3433,3433,36
3561,3561,36
4097,4097,36
3149,3149,36
4484,4484,36
5273,5273,36
4164,4164,36
5506,5506,36
4402,4402,36
7446,7446,36
2135,2135,36
2629,2629,36
4307,4307,36
6717,6717,36
3136,3136,36
2634,2634,36
4662,4662,36
1325,1325,36
4966,4966,35
4797,4797,35
3288,3288,35
3806,3806,35
5667,5667,35
3134,3134,35
5661,5661,35
1785,1785,35
3871,3871,35
6865,6865,35
2391,2391,35
5023,5023,35
5087,5087,35
7143,7143,35
443,443,35
512,512,35
513,513,35
2938,2938,35
2142,2142,35
5552,5552,35
3299,3299,35
220,220,35
7588,7588,35
1983,1983,35
3691,3691,35
3959,3959,35
2838,2838,35
2756,2756,35
1884,1884,35
3158,3158,35
2511,2511,35
3910,3910,35
2514,2514,35
4129,4129,35
5846,5846,35
3162,3162,35
3597,3597,35
2546,2546,35
3630,3630,35
4284,4284,35
3907,3907,35
6245,6245,35
6330,6330,35
6415,6415,35
6497,6497,35
6578,6578,35
6579,6579,35
6660,6660,35
6909,6909,35
2754,2754,35
2755,2755,35
1887,1887,35
6136,6136,35
6149,6149,35
6244,6244,35
1979,1979,35
7138,7138,35
7232,7232,35
973,973,35
4042,4042,35
5946,5946,35
6063,6063,35
6742,6742,35
2460,2460,35
4177,4177,35
6150,6150,35
6821,6821,35
974,974,35
975,975,35
976,976,35
4041,4041,35
4044,4044,35
5945,5945,35
6020,6020,35
6820,6820,35
7322,7322,35
972,972,35
5124,5124,35
5125,5125,35
5947,5947,35
6034,6034,35
6183,6183,35
6184,6184,35
6185,6185,35
6279,6279,35
6280,6280,35
6740,6740,35
7323,7323,35
7512,7512,35
2676,2676,35
1175,1175,35
4149,4149,35
4150,4150,35
4174,4174,35
5123,5123,35
6182,6182,35
7236,7236,35
7321,7321,35
7406,7406,35
7437,7437,35
7438,7438,35
7482,7482,35
7514,7514,35
7556,7556,35
5003,5003,35
2713,2713,35
4578,4578,35
5126,5126,35
5127,5127,35
5249,5249,35
6064,6064,35
6186,6186,35
6281,6281,35
7513,7513,35
7515,7515,35
2559,2559,35
3775,3775,35
3197,3197,35
971,971,35
1788,1788,35
4181,4181,35
4533,4533,35
5374,5374,35
6035,6035,35
6739,6739,35
7235,7235,35
2267,2267,35
582,582,35
2839,2839,35
3204,3204,35
7516,7516,35
3020,3020,35
3670,3670,35
200,200,35
234,234,35
1787,1787,35
2253,2253,35
4006,4006,35
4010,4010,35
4144,4144,35
5727,5727,35
5904,5904,35
6197,6197,35
7061,7061,35
7152,7152,35
4574,4574,35
167,167,35
2252,2252,35
4007,4007,35
4009,4009,35
4173,4173,35
4274,4274,35
4447,4447,35
4532,4532,35
4997,4997,35
5213,5213,35
5497,5497,35
5788,5788,35
5828,5828,35
5919,5919,35
6605,6605,35
6888,6888,35
6973,6973,35
7234,7234,35
7361,7361,35
4706,4706,34
3717,3717,34
3874,3874,34
3914,3914,34
4048,4048,34
5571,5571,34
6810,6810,34
4539,4539,34
4880,4880,34
3155,3155,34
269,269,34
1148,1148,34
1152,1152,34
1282,1282,34
2128,2128,34
2844,2844,34
3740,3740,34
4008,4008,34
4141,4141,34
4147,4147,34
4176,4176,34
4314,4314,34
4407,4407,34
5338,5338,34
5459,5459,34
5570,5570,34
5608,5608,34
5827,5827,34
6218,6218,34
6733,6733,34
2387,2387,34
306,306,34
356,356,34
1210,1210,34
1283,1283,34
1782,1782,34
3338,3338,34
3422,3422,34
3556,3556,34
3739,3739,34
5670,5670,34
5804,5804,34
6523,6523,34
218,218,34
2742,2742,34
650,650,34
970,970,34
1178,1178,34
1250,1250,34
1932,1932,34
2031,2031,34
2032,2032,34
2033,2033,34
2034,2034,34
2143,2143,34
2843,2843,34
3512,3512,34
3606,3606,34
3738,3738,34
4735,4735,34
5070,5070,34
5454,5454,34
5458,5458,34
5460,5460,34
5687,5687,34
5805,5805,34
5964,5964,34
6080,6080,34
6634,6634,34
7275,7275,34
415,415,34
1138,1138,34
1139,1139,34
1359,1359,34
1604,1604,34
1691,1691,34
2144,2144,34
2145,2145,34
2270,2270,34
2271,2271,34
2390,2390,34
2845,2845,34
2979,2979,34
3557,3557,34
4093,4093,34
4145,4145,34
4146,4146,34
5452,5452,34
5487,5487,34
5707,5707,34
5826,5826,34
5963,5963,34
6488,6488,34
6550,6550,34
7243,7243,34
7360,7360,34
3196,3196,34
4923,4923,34
1105,1105,34
1176,1176,34
1177,1177,34
1358,1358,34
2014,2014,34
2567,2567,34
2569,2569,34
2977,2977,34
3113,3113,34
3472,3472,34
4043,4043,34
4866,4866,34
5237,5237,34
5455,5455,34
5572,5572,34
5617,5617,34
5658,5658,34
5659,5659,34
5660,5660,34
6172,6172,34
6267,6267,34
6551,6551,34
7274,7274,34
4767,4767,34
2740,2740,34
3698,3698,34
5024,5024,34
1078,1078,34
1211,1211,34
1440,1440,34
1781,1781,34
2444,2444,34
2445,2445,34
2568,2568,34
3112,3112,34
3780,3780,34
4005,4005,34
4148,4148,34
4528,4528,34
5013,5013,34
5391,5391,34
5453,5453,34
5573,5573,34
5941,5941,34
6056,6056,34
6439,6439,34
2513,2513,34
3692,3692,34
3966,3966,34
3968,3968,34
5308,5308,34
613,613,34
679,679,34
745,745,34
746,746,34
875,875,34
941,941,34
969,969,34
1035,1035,34
1071,1071,34
1439,1439,34
1543,1543,34
1544,1544,34
1633,1633,34
1720,1720,34
1786,1786,34
1817,1817,34
1915,1915,34
1916,1916,34
3940,3940,34
4226,4226,34
4359,4359,34
5110,5110,34
5266,5266,34
5363,5363,34
5457,5457,34
5634,5634,34
5752,5752,34
5773,5773,34
5870,5870,34
5986,5986,34
6102,6102,34
6354,6354,34
3960,3960,34
6784,6784,34
7126,7126,34
255,255,34
458,458,34
479,479,34
546,546,34
680,680,34
718,718,34
785,785,34
810,810,34
811,811,34
851,851,34
852,852,34
876,876,34
877,877,34
889,889,34
891,891,34
892,892,34
918,918,34
919,919,34
940,940,34
943,943,34
953,953,34
954,954,34
955,955,34
956,956,34
959,959,34
960,960,34
1005,1005,34
1006,1006,34
1010,1010,34
1019,1019,34
1020,1020,34
1028,1028,34
1036,1036,34
1086,1086,34
1095,1095,34
1147,1147,34
1153,1153,34
1154,1154,34
1164,1164,34
1221,1221,34
1222,1222,34
1223,1223,34
1224,1224,34
1225,1225,34
1238,1238,34
1298,1298,34
1299,1299,34
1312,1312,34
1376,1376,34
1390,1390,34
1458,1458,34
1472,1472,34
1557,1557,34
1558,1558,34
1647,1647,34
1648,1648,34
1735,1735,34
1737,1737,34
1738,1738,34
1739,1739,34
1740,1740,34
1741,1741,34
1742,1742,34
1743,1743,34
1771,1771,34
1772,1772,34
1832,1832,34
2167,2167,34
2285,2285,34
2405,2405,34
2527,2527,34
2650,2650,34
2776,2776,34
2910,2910,34
3044,3044,34
3111,3111,34
3178,3178,34
3179,3179,34
3313,3313,34
3447,3447,34
3582,3582,34
3583,3583,34
3718,3718,34
3719,3719,34
3720,3720,34
3721,3721,34
3855,3855,34
3856,3856,34
3990,3990,34
4124,4124,34
4125,4125,34
4126,4126,34
4127,4127,34
4128,4128,34
4491,4491,34
4492,4492,34
4622,4622,34
4659,4659,34
4752,4752,34
4883,4883,34
5014,5014,34
5140,5140,34
5456,5456,34
5514,5514,34
5825,5825,34
6687,6687,34
6764,6764,34
6998,6998,34
7089,7089,34
7181,7181,34
7273,7273,34
7329,7329,34
7411,7411,34
7484,7484,34
7517,7517,34
7518,7518,34
7558,7558,34
7587,7587,34
7625,7625,34
7671,7671,34
7719,7719,34
7763,7763,34
7764,7764,34
7765,7765,34
